name,description,price,material,color,tags,category,image_ref
Claremont Heights Sofa, A stylish modern take on a classic design., 349.99, microfiber, light blue, "couch, 3 seats, modern", living room, /images/Claremont.png
Folsom Street Sofa, Classic black leather on an updated two-seat sofa., 299.99, leather, black, "couch, sofa, 2 seats, modern", living room, /images/Folsom.png
Hayward Sofa, The standard two-seat sofa in a neutral colorway., 199.99, linen, grey, "couch, neutral, 2 seats", living room, /images/Hayward.png
Delcrest Sofa, Light neutral colors on a classic three-seat sofa, 249.99, linen, tan, "couch, neutral, 3 seats", living room, /images/Delcrest.png
Athens Sofa, Dark blue tones on a classic design, 279.99, microfiber, blue, "couch, dark", living room, /images/Athens.png
Altari Sofa, Beautiful black linen meets a classic two-seat sofa, 219.99, linen, black, "couch, dark, 2 seats", living room, /images/Altari.png
Mahoney Sofa, Simple two-seat sofa perfect for any room, 189.99, microfiber, grey, "couch, neutral, 2 seats", living room, /images/Mahoney.png
Darcy Sofa, Modern sofa with a style that's sure to make a statement, 429.99, microfiber, grey, "couch, neutral, 3 seats", living room, /images/Darcy.png
Bladen Sofa, Rustic brown sofa sure to make a great addition to your space, 399.99, leather, brown, "couch, rustic, 3 seats", living room, /images/Bladen.png
Newton Sofa, A unique modern sofa perfect for elevating your living space style, 319.99, linen, brown, "couch, modern, 2 seats", living room, /images/Newton.png
Tartonelle Accent Chair, White linen chair of classic design, 169.99, linen, white, "chair, office", living room, /images/Tartonelle.png
Puckman Leather Accent Chair, Sleek brown leather chair on a metal frame, 159.99, leather, brown, "chair, living room", office, /images/Puckman.png
Kambria Swivel Glider Accent Chair, Striped linen swivel chair, 179.99, linen, white, "chair, office", living room, /images/Kambria.png
Drakelle Accent Chair, Faux-distressed leather seat in rustic brown, 199.99, leather, brown, "chair, living room", office, /images/Drakelle.png
Sidewinder Accent Chair, Modern style brown leather seat, 169.99, leather, brown, "chair, living room", office, /images/Sidewinder.png
Bradney Swivel Chair, Classic grey linen swivel chair, 159.99, linen, grey, "chair, living room", office, /images/Bradney.png
Peacemaker Accent Chair, Light brown leather accent seat on a metal frame, 149.99, leather, brown, "chair, living room", office, /images/Peacemaker.png
Search Swivel Accent Chair, White linen swivel chair in a classic style, 169.99, linen, white, "chair, office", living room, /images/Search.png
Iceman Swivel Chair, Dark blue corduroy swivel chair, 189.99, corduroy, blue, "chair, living room", office, /images/Iceman.png
Tilden Accent Chair, White linen seat with wooden accents, 154.99, linen, white, "chair, living room", office, /images/Tilden.png
GhostPillow Memory Foam Pillow, High quality memory foam pillow, 29.99, foam, white, "pillow", bedroom, /images/GhostPillow.png
Healthy Sleep Pillow, Quilted cotton cooling pillow, 34.99, foam, grey, "pillow, cooling", bedroom, /images/Healthy.png
Chime 10 Inch Medium Hybrid Twin Mattress, Memory foam twin mattress for great comfort, 189.99, foam, white, "bed, mattress", bedroom, /images/Chime.png
Chime 12 Inch Plush Hybrid Twin Mattress, Larger memory foam twin mattress for great comfort, 219.99, foam, white, "bed, mattress", bedroom, /images/Chime2.png
iKidz Coral Twin Mattress and Pillow, Kids twin mattress and pillow in a vibrant coral color, 164.99, foam, coral, "bed, mattress, kids", bedroom, /images/iKidz.png
